Geography,Geographic Area Name,Total Population,Population (Male),Population (Female),Population (Under 5 years old),Population (5-9 years old),Population (10-14 years old),Population (15-19 years old),Population (20-24 years old),Population (25-34 years old),Population (35-44 years old),Population (45-54 years old),Population (55-59 years old),Population (60-64 years old),Population (65-74 years old),Population (75-84 years old),Population (85+ years old),Race (One Race),Race (Two or More Races),Race (one: white),Race (one: black or African American),Race (one: native American),Race (one: black or Asian),Race (one: Pacific Islander),Race (one: Other),Race (two+: white and black or African American),Race (two+: white and Native American),Race (two+: white and Asian),Race (two+: black and Native American,Race (Hispanic or Latino),Race (Not Hispanic or Latino)
1400000US06037190102,"Census Tract 1901.02, Los Angeles County, California",2716,1410,1306,44,0,26,36,219,1172,533,306,169,42,78,91,0,2478,238,1699,100,26,240,0,413,0,0,23,0,709,2007
1400000US06037190201,"Census Tract 1902.01, Los Angeles County, California",2895,1492,1403,0,116,146,382,385,702,308,363,124,10,120,143,96,2272,623,1481,267,40,159,0,325,20,0,78,0,1219,1676
1400000US06037190202,"Census Tract 1902.02, Los Angeles County, California",3256,1816,1440,126,0,0,0,287,1113,804,136,132,222,238,198,0,3012,244,1674,779,0,322,0,237,0,119,76,16,720,2536
1400000US06037190302,"Census Tract 1903.02, Los Angeles County, California",2985,1254,1731,10,102,23,108,107,1074,455,308,155,150,213,149,131,2828,157,1660,210,0,433,0,525,13,12,13,0,806,2179
1400000US06037190303,"Census Tract 1903.03, Los Angeles County, California",2850,1749,1101,96,0,13,18,116,622,671,648,177,150,189,104,46,2774,76,1605,356,51,201,0,561,14,44,0,0,675,2175
1400000US06037190401,"Census Tract 1904.01, Los Angeles County, California",2996,1261,1735,29,16,58,33,253,811,481,335,287,126,290,265,12,2736,260,1754,114,0,304,0,564,17,15,24,11,919,2077
1400000US06037190402,"Census Tract 1904.02, Los Angeles County, California",2070,1032,1038,36,72,0,104,150,575,309,278,201,101,117,68,59,2026,44,1342,140,0,345,0,199,11,18,0,0,336,1734
1400000US06037190510,"Census Tract 1905.10, Los Angeles County, California",3815,1914,1901,62,353,189,105,369,918,447,557,209,206,311,63,26,3705,110,1623,271,0,640,0,1171,0,10,48,0,1520,2295
1400000US06037190520,"Census Tract 1905.20, Los Angeles County, California",4144,2235,1909,391,238,169,79,258,737,703,502,327,196,356,65,123,3830,314,1976,48,0,722,0,1084,0,0,0,0,1825,2319
1400000US06037190701,"Census Tract 1907.01, Los Angeles County, California",1693,866,827,45,129,34,13,122,299,232,255,108,104,249,57,46,1491,202,876,50,7,372,0,186,0,0,0,0,345,1348
1400000US06037190702,"Census Tract 1907.02, Los Angeles County, California",1127,603,524,21,0,16,7,24,376,200,239,91,27,45,63,18,1007,120,658,112,0,86,0,151,21,6,37,0,295,832
1400000US06037190801,"Census Tract 1908.01, Los Angeles County, California",2663,1347,1316,0,51,93,271,500,431,250,294,157,65,246,144,161,2550,113,1362,263,39,180,0,706,4,0,20,4,1073,1590
1400000US06037190802,"Census Tract 1908.02, Los Angeles County, California",3071,1562,1509,74,9,92,125,195,879,315,704,102,223,212,110,31,2338,733,1381,210,0,255,0,492,33,132,111,0,951,2120
1400000US06037190901,"Census Tract 1909.01, Los Angeles County, California",4361,2430,1931,194,172,227,210,347,993,862,493,300,269,237,27,30,4187,174,1646,188,13,180,0,2160,0,0,82,0,3298,1063
1400000US06037190902,"Census Tract 1909.02, Los Angeles County, California",3793,2125,1668,92,158,224,261,232,957,475,504,285,220,264,115,6,3609,184,1876,193,36,108,0,1396,0,15,46,0,2223,1570
1400000US06037191000,"Census Tract 1910, Los Angeles County, California",4817,3021,1796,174,60,179,116,371,1772,715,880,208,144,59,94,45,4589,228,2672,329,100,783,0,705,0,63,78,0,1670,3147
1400000US06037191110,"Census Tract 1911.10, Los Angeles County, California",3634,1722,1912,57,84,12,62,214,737,479,316,382,402,579,234,76,3524,110,2545,68,0,347,0,564,0,23,58,0,1199,2435
1400000US06037191120,"Census Tract 1911.20, Los Angeles County, California",3732,2113,1619,120,179,240,95,162,1064,465,458,126,225,323,161,114,3583,149,1653,76,25,543,34,1252,3,32,0,0,1803,1929
1400000US06037191201,"Census Tract 1912.01, Los Angeles County, California",5088,2279,2809,158,60,111,169,320,1254,730,505,257,477,730,253,64,4787,301,2675,154,10,518,5,1425,20,9,58,11,1996,3092
1400000US06037191203,"Census Tract 1912.03, Los Angeles County, California",2287,1281,1006,47,82,28,155,172,333,449,220,162,115,367,157,0,2242,45,922,67,24,561,0,668,45,0,0,0,1210,1077
1400000US06037191204,"Census Tract 1912.04, Los Angeles County, California",1703,861,842,98,92,47,44,76,371,280,129,99,142,196,94,35,1630,73,654,83,0,301,21,571,0,9,5,0,779,924
1400000US06037191301,"Census Tract 1913.01, Los Angeles County, California",2320,1051,1269,74,88,137,62,185,553,468,201,88,71,195,132,66,2293,27,602,171,0,575,0,945,0,0,4,0,1151,1169
1400000US06037191302,"Census Tract 1913.02, Los Angeles County, California",1873,1027,846,82,32,72,59,195,555,353,226,109,66,72,29,23,1777,96,604,29,0,404,0,740,0,6,5,0,965,908
1400000US06037191410,"Census Tract 1914.10, Los Angeles County, California",3841,2142,1699,140,145,183,205,227,947,530,578,247,281,155,117,86,3721,120,1130,187,0,452,48,1904,0,50,41,0,2507,1334
1400000US06037191420,"Census Tract 1914.20, Los Angeles County, California",3698,2103,1595,151,105,165,131,336,1215,610,348,329,200,108,0,0,2772,926,899,32,14,340,0,1487,11,11,74,0,2596,1102
1400000US06037191500,"Census Tract 1915, Los Angeles County, California",5928,2824,3104,226,235,318,367,422,1364,714,910,447,230,431,188,76,5609,319,2378,57,27,955,0,2192,42,0,155,0,3346,2582
1400000US06037191610,"Census Tract 1916.10, Los Angeles County, California",4016,1783,2233,206,291,234,180,154,1081,711,376,173,265,245,79,21,3905,111,1264,322,0,598,0,1721,54,15,6,0,2259,1757
1400000US06037191620,"Census Tract 1916.20, Los Angeles County, California",2600,1330,1270,216,192,129,102,163,520,371,297,52,147,154,127,130,2583,17,490,216,0,653,0,1224,0,0,9,0,1372,1228
1400000US06037191710,"Census Tract 1917.10, Los Angeles County, California",2632,1274,1358,90,88,53,144,219,494,419,209,236,227,309,106,38,2576,56,855,154,0,156,0,1411,9,0,0,0,1795,837
