Geography,Geographic Area Name,Total Population,Population (Male),Population (Female),Population (Under 5 years old),Population (5-9 years old),Population (10-14 years old),Population (15-19 years old),Population (20-24 years old),Population (25-34 years old),Population (35-44 years old),Population (45-54 years old),Population (55-59 years old),Population (60-64 years old),Population (65-74 years old),Population (75-84 years old),Population (85+ years old),Race (One Race),Race (Two or More Races),Race (one: white),Race (one: black or African American),Race (one: native American),Race (one: black or Asian),Race (one: Pacific Islander),Race (one: Other),Race (two+: white and black or African American),Race (two+: white and Native American),Race (two+: white and Asian),Race (two+: black and Native American,Race (Hispanic or Latino),Race (Not Hispanic or Latino)
1400000US06037135111,"Census Tract 1351.11, Los Angeles County, California",4050,1940,2110,302,193,311,311,476,420,462,698,379,95,177,73,153,3291,759,2569,83,5,608,0,26,47,0,7,0,1196,2854
1400000US06037135113,"Census Tract 1351.13, Los Angeles County, California",3138,1478,1660,177,112,93,187,144,717,331,480,215,240,297,131,14,2938,200,1908,131,0,669,49,181,85,10,45,27,526,2612
1400000US06037135115,"Census Tract 1351.15, Los Angeles County, California",3110,1354,1756,219,120,110,264,219,831,501,298,101,92,212,128,15,2965,145,2066,91,0,767,0,41,0,0,14,0,648,2462
1400000US06037135116,"Census Tract 1351.16, Los Angeles County, California",1463,778,685,38,15,63,12,122,295,199,183,12,94,148,113,169,1463,0,978,97,0,187,0,201,0,0,0,0,315,1148
1400000US06037135201,"Census Tract 1352.01, Los Angeles County, California",3013,1470,1543,225,250,265,203,187,239,455,451,167,152,223,91,105,2803,210,1910,225,4,405,0,259,19,0,95,0,518,2495
1400000US06037135202,"Census Tract 1352.02, Los Angeles County, California",4618,2071,2547,244,502,458,204,253,307,756,707,363,248,219,161,196,4319,299,3273,254,13,634,0,145,57,13,120,0,777,3841
1400000US06037135204,"Census Tract 1352.04, Los Angeles County, California",5135,2526,2609,432,355,326,351,327,367,886,505,558,467,221,280,60,4722,413,3483,324,0,899,0,16,49,2,153,0,874,4261
1400000US06037135205,"Census Tract 1352.05, Los Angeles County, California",1938,872,1066,186,155,17,9,37,178,157,118,180,132,363,302,104,1885,53,1618,16,47,204,0,0,0,0,53,0,37,1901
1400000US06037137000,"Census Tract 1370, Los Angeles County, California",5184,2654,2530,271,277,263,278,251,428,613,824,353,291,689,282,364,4971,213,4210,286,22,400,10,43,14,5,87,0,420,4764
1400000US06037137103,"Census Tract 1371.03, Los Angeles County, California",5540,2452,3088,356,236,32,149,250,1046,818,857,427,411,614,297,47,5469,71,4184,33,24,1080,0,148,0,25,37,0,913,4627
1400000US06037137104,"Census Tract 1371.04, Los Angeles County, California",2579,1364,1215,80,187,141,141,113,312,304,327,267,120,299,185,103,2359,220,2037,81,0,197,0,44,0,28,16,0,330,2249
1400000US06037137202,"Census Tract 1372.02, Los Angeles County, California",3281,1581,1700,219,112,99,169,192,732,448,328,311,302,222,102,45,3185,96,2105,131,0,690,0,259,0,0,62,0,274,3007
1400000US06037137203,"Census Tract 1372.03, Los Angeles County, California",2609,1175,1434,83,70,264,516,141,128,279,500,162,177,164,125,0,2370,239,1531,224,0,348,0,267,1,40,156,29,870,1739
1400000US06037137301,"Census Tract 1373.01, Los Angeles County, California",2314,1094,1220,19,74,237,221,93,109,265,523,218,118,234,128,75,2040,274,1811,61,1,133,0,34,0,55,162,0,160,2154
1400000US06037137302,"Census Tract 1373.02, Los Angeles County, California",4392,2328,2064,223,239,229,187,188,284,609,450,461,341,669,280,232,4182,210,3617,231,27,192,0,115,33,0,58,0,395,3997
1400000US06037137401,"Census Tract 1374.01, Los Angeles County, California",4091,1963,2128,332,235,240,183,146,525,553,754,183,301,382,198,59,3846,245,3394,89,22,244,0,97,88,25,30,0,663,3428
1400000US06037137402,"Census Tract 1374.02, Los Angeles County, California",5626,2637,2989,755,493,203,160,111,413,1017,648,284,370,685,276,211,5441,185,4070,778,0,300,0,293,2,0,151,0,669,4957
1400000US06037137501,"Census Tract 1375.01, Los Angeles County, California",5254,2588,2666,498,296,289,123,255,1138,753,769,246,151,275,284,177,4907,347,3687,293,0,777,0,150,2,0,246,0,570,4684
1400000US06037137502,"Census Tract 1375.02, Los Angeles County, California",4337,2195,2142,248,203,297,200,177,330,709,695,475,181,352,283,187,3873,464,2922,320,36,378,0,217,78,33,49,0,666,3671
1400000US06037137504,"Census Tract 1375.04, Los Angeles County, California",1928,949,979,85,154,155,88,40,143,289,265,97,186,253,109,64,1685,243,1603,13,15,48,0,6,17,0,133,12,227,1701
1400000US06037138000,"Census Tract 1380, Los Angeles County, California",4766,2462,2304,390,322,227,113,84,295,660,958,393,271,719,195,139,4442,324,3805,311,0,218,35,73,142,0,182,0,343,4423
1400000US06037139001,"Census Tract 1390.01, Los Angeles County, California",5561,2751,2810,458,437,261,122,153,914,982,779,310,370,444,215,116,5246,315,4783,28,0,343,0,92,79,36,115,0,1012,4549
1400000US06037139200,"Census Tract 1392, Los Angeles County, California",5994,2523,3471,317,225,367,253,199,860,898,810,413,437,705,296,214,5864,130,4842,187,0,612,0,223,21,0,109,0,864,5130
1400000US06037139301,"Census Tract 1393.01, Los Angeles County, California",4106,2103,2003,254,120,354,294,243,376,322,693,245,520,343,292,50,3429,677,2521,349,0,514,0,45,77,0,181,0,552,3554
1400000US06037139302,"Census Tract 1393.02, Los Angeles County, California",5016,2710,2306,179,313,379,302,236,1152,843,603,227,192,308,239,43,4651,365,2902,379,53,484,0,833,53,5,96,0,1775,3241
1400000US06037139303,"Census Tract 1393.03, Los Angeles County, California",4682,2305,2377,197,210,174,194,239,750,745,711,167,364,414,154,363,4395,287,3280,396,27,196,6,490,86,13,71,32,1095,3587
1400000US06037139401,"Census Tract 1394.01, Los Angeles County, California",2488,1213,1275,82,147,58,75,120,375,418,256,178,174,213,138,254,2411,77,2186,163,0,59,0,3,14,0,1,0,344,2144
1400000US06037139402,"Census Tract 1394.02, Los Angeles County, California",2979,1531,1448,236,114,232,261,125,200,342,405,282,252,270,170,90,2784,195,2539,96,6,63,0,80,0,0,95,0,274,2705
1400000US06037139502,"Census Tract 1395.02, Los Angeles County, California",3004,1526,1478,210,251,107,111,172,235,403,438,164,243,378,200,92,2701,303,2450,23,0,163,0,65,37,5,49,0,381,2623
1400000US06037139504,"Census Tract 1395.04, Los Angeles County, California",4128,1729,2399,266,140,197,115,129,636,730,693,183,262,303,296,178,3961,167,3326,261,0,280,0,94,36,0,87,0,291,3837
1400000US06037139505,"Census Tract 1395.05, Los Angeles County, California",2965,1232,1733,242,256,63,0,191,363,345,276,292,449,321,79,88,2385,580,2190,38,0,157,0,0,0,0,498,0,685,2280
1400000US06037139506,"Census Tract 1395.06, Los Angeles County, California",3416,1381,2035,83,143,261,263,64,609,599,384,208,138,389,159,116,3343,73,3151,10,0,143,0,39,21,34,18,0,880,2536
1400000US06037139600,"Census Tract 1396, Los Angeles County, California",5241,2481,2760,246,374,319,251,178,547,584,798,338,373,702,373,158,5124,117,4284,143,0,598,0,99,0,0,85,0,458,4783
1400000US06037139701,"Census Tract 1397.01, Los Angeles County, California",5889,2640,3249,259,274,265,416,327,531,793,823,577,344,753,337,190,5477,412,4875,104,12,352,19,115,161,15,26,0,469,5420
1400000US06037139703,"Census Tract 1397.03, Los Angeles County, California",2747,1272,1475,160,184,201,227,62,145,337,433,207,141,434,121,95,2578,169,2330,85,5,158,0,0,9,0,131,0,29,2718
1400000US06037139704,"Census Tract 1397.04, Los Angeles County, California",2620,1310,1310,43,207,422,172,155,61,223,542,164,119,261,222,29,2500,120,2468,0,0,32,0,0,0,0,36,0,3,2617
1400000US06037139705,"Census Tract 1397.05, Los Angeles County, California",3820,1734,2086,225,278,261,168,83,413,301,599,334,181,477,374,126,3808,12,3545,0,0,248,15,0,0,0,0,0,111,3709
1400000US06037139801,"Census Tract 1398.01, Los Angeles County, California",3478,1778,1700,106,202,237,186,139,223,493,414,366,332,431,227,122,3234,244,2937,188,0,91,0,18,0,160,84,0,193,3285
1400000US06037139802,"Census Tract 1398.02, Los Angeles County, California",4041,2068,1973,195,274,298,196,190,256,383,669,286,219,588,339,148,4007,34,3366,214,0,397,0,30,6,0,24,0,230,3811
1400000US06037141101,"Census Tract 1411.01, Los Angeles County, California",4757,2238,2519,531,217,397,92,162,1223,460,839,167,301,248,78,42,4172,585,3267,642,0,168,0,95,274,0,239,0,611,4146
1400000US06037141102,"Census Tract 1411.02, Los Angeles County, California",3120,1623,1497,230,191,95,93,104,704,609,337,186,199,216,117,39,2710,410,2366,159,3,147,0,35,70,4,188,0,360,2760
1400000US06037141201,"Census Tract 1412.01, Los Angeles County, California",4201,1938,2263,395,88,78,45,199,1182,776,666,200,127,238,115,92,3978,223,3299,265,0,197,0,217,27,57,43,0,772,3429
1400000US06037141202,"Census Tract 1412.02, Los Angeles County, California",3001,1325,1676,162,95,114,136,95,512,588,362,320,257,279,40,41,2853,148,2543,97,7,173,0,33,79,0,64,0,257,2744
1400000US06037141303,"Census Tract 1413.03, Los Angeles County, California",3436,1739,1697,135,108,57,68,209,997,466,464,265,172,174,233,88,3154,282,2583,143,0,250,0,178,54,18,72,0,508,2928
1400000US06037141304,"Census Tract 1413.04, Los Angeles County, California",3185,1505,1680,117,112,177,36,163,878,570,489,120,70,257,119,77,3060,125,2745,116,0,126,0,73,0,13,57,0,245,2940
1400000US06037141305,"Census Tract 1413.05, Los Angeles County, California",2606,1262,1344,89,32,86,80,30,607,571,441,166,153,233,93,25,2482,124,2184,141,3,123,0,31,17,0,60,0,557,2049
1400000US06037141306,"Census Tract 1413.06, Los Angeles County, California",3240,1599,1641,144,89,114,183,113,985,492,560,122,158,198,43,39,3014,226,2435,184,0,212,0,183,0,144,46,0,793,2447
1400000US06037141400,"Census Tract 1414, Los Angeles County, California",5366,2749,2617,388,451,406,175,158,866,669,611,498,293,408,211,232,4889,477,4010,281,0,426,0,172,59,8,162,0,483,4883
1400000US06037141500,"Census Tract 1415, Los Angeles County, California",3015,1442,1573,126,194,116,327,220,159,262,461,340,162,333,138,177,2986,29,2518,185,0,216,0,67,0,13,0,0,65,2950
1400000US06037141600,"Census Tract 1416, Los Angeles County, California",4198,2284,1914,249,147,224,193,115,309,582,739,362,447,549,198,84,3940,258,3382,144,0,414,0,0,20,0,211,0,270,3928
1400000US06037141700,"Census Tract 1417, Los Angeles County, California",3342,1767,1575,225,96,142,241,137,322,465,488,369,270,320,180,87,3252,90,3032,43,0,177,0,0,24,0,25,0,164,3178
1400000US06037143101,"Census Tract 1431.01, Los Angeles County, California",2074,1129,945,22,179,70,30,0,268,274,427,88,276,220,110,110,2007,67,1728,13,0,188,78,0,0,0,43,0,160,1914
1400000US06037143102,"Census Tract 1431.02, Los Angeles County, California",2139,1100,1039,123,0,29,31,148,510,411,384,167,126,148,62,0,2050,89,1450,112,29,212,0,247,0,0,15,0,400,1739
1400000US06037143200,"Census Tract 1432, Los Angeles County, California",4351,2077,2274,191,74,136,173,352,783,1109,690,319,195,230,78,21,3984,367,2769,109,0,492,29,585,61,122,48,0,1102,3249
1400000US06037143301,"Census Tract 1433.01, Los Angeles County, California",3586,1757,1829,154,270,150,73,240,601,957,477,39,187,288,119,31,3208,378,2672,161,40,266,0,69,163,0,197,0,732,2854
1400000US06037143302,"Census Tract 1433.02, Los Angeles County, California",3104,1592,1512,166,79,83,26,72,275,556,550,258,393,386,202,58,2968,136,2500,143,0,276,0,49,57,0,58,0,405,2699
1400000US06037143401,"Census Tract 1434.01, Los Angeles County, California",5602,2607,2995,402,255,298,153,199,1194,792,727,358,188,379,225,432,5233,369,4377,181,48,419,0,208,0,36,270,0,536,5066
1400000US06037143402,"Census Tract 1434.02, Los Angeles County, California",1973,997,976,275,108,17,51,102,417,218,364,62,118,181,41,19,1859,114,1786,0,0,22,0,51,0,0,40,0,247,1726
1400000US06037143500,"Census Tract 1435, Los Angeles County, California",5633,2549,3084,318,276,304,236,213,610,1318,878,383,241,539,236,81,5235,398,4613,332,13,117,42,118,150,0,65,0,640,4993
1400000US06037143602,"Census Tract 1436.02, Los Angeles County, California",4897,2801,2096,166,247,15,175,185,434,832,897,318,856,433,213,126,4717,180,3887,156,0,605,0,69,0,92,65,0,530,4367
1400000US06037143603,"Census Tract 1436.03, Los Angeles County, California",2442,1177,1265,190,37,33,39,122,522,454,441,160,128,205,62,49,2127,315,1749,82,0,233,0,63,35,33,81,0,382,2060
1400000US06037143605,"Census Tract 1436.05, Los Angeles County, California",1803,996,807,9,14,20,0,277,955,133,224,87,52,16,16,0,1705,98,1131,298,0,276,0,0,10,0,19,0,161,1642
1400000US06037143606,"Census Tract 1436.06, Los Angeles County, California",1701,976,725,88,13,28,0,143,825,238,242,0,49,57,0,18,1469,232,1148,50,16,233,0,22,0,0,30,0,170,1531
1400000US06037143700,"Census Tract 1437, Los Angeles County, California",3767,1708,2059,242,155,139,53,166,464,640,723,403,237,366,132,47,3496,271,3206,49,0,188,25,28,56,0,102,0,527,3240
1400000US06037143801,"Census Tract 1438.01, Los Angeles County, California",3342,1856,1486,232,274,108,136,168,387,717,549,139,171,306,137,18,2918,424,2366,201,0,351,0,0,192,36,152,0,199,3143
1400000US06037143802,"Census Tract 1438.02, Los Angeles County, California",2501,1493,1008,115,162,41,77,155,491,454,215,126,124,402,111,28,2453,48,2092,78,0,203,0,80,21,0,16,0,391,2110
1400000US06037143901,"Census Tract 1439.01, Los Angeles County, California",4363,2030,2333,126,450,318,228,124,265,658,685,314,364,594,169,68,4090,273,3828,55,0,182,0,25,52,0,213,0,447,3916
1400000US06037143902,"Census Tract 1439.02, Los Angeles County, California",2860,1474,1386,56,166,207,73,77,398,619,405,185,143,265,141,125,2512,348,2201,42,0,260,0,9,0,0,118,0,415,2445
1400000US06037181000,"Census Tract 1810, Los Angeles County, California",6357,3075,3282,397,504,354,125,205,671,997,936,388,403,683,576,118,5439,918,3409,1,50,1472,0,507,47,103,431,0,2104,4253
1400000US06037181300,"Census Tract 1813, Los Angeles County, California",3959,1987,1972,210,135,155,97,172,679,625,387,546,329,385,180,59,3269,690,1923,82,9,1059,0,196,19,4,276,0,1047,2912
1400000US06037181400,"Census Tract 1814, Los Angeles County, California",4797,2416,2381,226,238,274,315,218,988,757,555,260,224,330,135,277,4535,262,2171,111,64,1629,0,560,0,3,51,0,1757,3040
1400000US06037181500,"Census Tract 1815, Los Angeles County, California",3934,2023,1911,240,201,169,130,60,543,558,644,220,356,592,151,70,3673,261,1939,88,0,1130,95,421,0,14,158,10,886,3048
1400000US06037181600,"Census Tract 1816, Los Angeles County, California",4697,2017,2680,147,132,126,1185,910,513,328,595,180,209,191,92,89,4092,605,2137,245,225,1083,68,334,41,53,113,16,1601,3096
1400000US06037183101,"Census Tract 1831.01, Los Angeles County, California",2749,1413,1336,177,206,132,102,64,563,401,371,142,214,186,160,31,2519,230,1570,8,131,187,0,623,0,28,25,0,1491,1258
1400000US06037183103,"Census Tract 1831.03, Los Angeles County, California",4800,2201,2599,307,351,329,348,269,845,632,944,240,174,259,57,45,4168,632,2270,304,228,336,0,1030,129,83,99,0,2754,2046
1400000US06037183104,"Census Tract 1831.04, Los Angeles County, California",1985,1006,979,36,79,76,80,97,393,302,305,111,53,241,161,51,1891,94,1170,65,26,338,0,292,0,10,24,2,990,995
1400000US06037183220,"Census Tract 1832.20, Los Angeles County, California",3597,1841,1756,190,208,133,221,169,697,619,493,196,193,285,148,45,3266,331,1329,10,202,566,0,1159,54,35,48,0,2186,1411
1400000US06037183221,"Census Tract 1832.21, Los Angeles County, California",3779,1955,1824,124,95,227,294,205,825,516,601,250,230,274,49,89,2904,875,1262,4,157,408,0,1073,0,0,65,0,2843,936
1400000US06037183222,"Census Tract 1832.22, Los Angeles County, California",3569,1795,1774,179,128,82,61,92,756,625,336,222,227,516,226,119,3339,230,1961,64,111,633,0,570,76,32,43,0,1250,2319
1400000US06037183300,"Census Tract 1833, Los Angeles County, California",3528,1739,1789,133,156,244,185,169,560,629,579,144,244,320,135,30,3164,364,1411,54,69,600,0,1030,0,0,101,0,2138,1390
1400000US06037183401,"Census Tract 1834.01, Los Angeles County, California",2439,1162,1277,93,56,153,145,100,465,310,300,157,125,282,116,137,2305,134,881,14,109,579,10,712,6,15,34,0,1229,1210
1400000US06037183402,"Census Tract 1834.02, Los Angeles County, California",3020,1480,1540,207,93,139,134,442,574,517,292,146,153,134,103,86,2582,438,1116,84,21,804,6,551,37,46,195,0,983,2037
1400000US06037183510,"Census Tract 1835.10, Los Angeles County, California",2535,1246,1289,134,64,102,144,123,576,450,290,194,110,196,61,91,2440,95,1225,0,79,262,1,873,0,0,25,0,1653,882
1400000US06037183520,"Census Tract 1835.20, Los Angeles County, California",3676,1932,1744,184,217,262,305,294,488,583,516,139,311,250,98,29,3105,571,1355,45,78,102,0,1525,59,0,8,0,3061,615
1400000US06037183610,"Census Tract 1836.10, Los Angeles County, California",2919,1452,1467,268,60,123,95,160,731,501,309,174,215,186,52,45,2609,310,1327,16,108,294,0,864,33,0,84,30,2001,918
1400000US06037183620,"Census Tract 1836.20, Los Angeles County, California",3038,1453,1585,143,63,146,188,262,531,480,548,144,145,230,111,47,2813,225,1738,111,20,184,4,756,36,0,20,0,1902,1136
1400000US06037183701,"Census Tract 1837.01, Los Angeles County, California",3382,1643,1739,128,299,78,102,145,986,480,290,211,133,360,116,54,3138,244,1691,40,0,359,7,1041,0,10,15,0,2171,1211
1400000US06037183702,"Census Tract 1837.02, Los Angeles County, California",2995,1688,1307,314,151,53,154,195,513,655,263,187,196,208,87,19,2527,468,1447,101,58,503,0,418,11,116,38,30,1423,1572
1400000US06037183810,"Census Tract 1838.10, Los Angeles County, California",4130,2027,2103,265,310,173,252,387,965,731,564,75,115,246,39,8,3880,250,1765,64,351,101,0,1599,0,130,44,0,3250,880
1400000US06037183820,"Census Tract 1838.20, Los Angeles County, California",3452,1937,1515,205,139,186,174,360,744,584,583,202,228,13,21,13,3030,422,1153,162,199,306,0,1210,0,28,39,0,2552,900
1400000US06037185101,"Census Tract 1851.01, Los Angeles County, California",2869,1654,1215,133,219,83,131,72,936,406,247,235,187,122,65,33,2718,151,1899,89,16,348,0,366,0,0,35,0,1498,1371
1400000US06037185102,"Census Tract 1851.02, Los Angeles County, California",3459,1758,1701,188,77,100,97,43,1230,410,290,173,397,331,89,34,3081,378,2729,77,0,152,0,123,27,14,29,0,1096,2363
1400000US06037185202,"Census Tract 1852.02, Los Angeles County, California",4162,2199,1963,427,340,87,122,259,634,877,528,197,210,376,85,20,3799,363,2561,29,0,349,0,860,16,0,0,27,1990,2172
1400000US06037185203,"Census Tract 1852.03, Los Angeles County, California",2862,1427,1435,182,157,93,108,195,640,434,438,153,172,217,47,26,2746,116,1072,22,53,233,0,1366,16,9,64,0,2116,746
1400000US06037185204,"Census Tract 1852.04, Los Angeles County, California",1923,962,961,20,116,144,67,50,276,241,270,208,88,280,131,32,1769,154,856,61,9,473,0,370,7,0,58,0,732,1191
1400000US06037185310,"Census Tract 1853.10, Los Angeles County, California",3180,1643,1537,211,294,157,163,205,634,523,345,123,99,248,138,40,3112,68,1574,38,0,210,0,1290,0,0,0,0,2737,443
1400000US06037185320,"Census Tract 1853.20, Los Angeles County, California",2957,1573,1384,119,165,141,185,290,391,418,449,236,218,188,97,60,2725,232,1110,19,66,95,0,1435,0,19,13,0,2490,467
1400000US06037186100,"Census Tract 1861, Los Angeles County, California",4929,2509,2420,263,295,186,92,441,736,962,616,420,178,489,199,52,4338,591,2242,59,79,1390,0,568,120,88,164,6,1486,3443
1400000US06037186201,"Census Tract 1862.01, Los Angeles County, California",3608,1847,1761,403,55,141,94,236,570,388,467,328,246,323,177,180,3103,505,1087,92,4,1218,0,702,0,0,10,0,1669,1939
1400000US06037186202,"Census Tract 1862.02, Los Angeles County, California",1920,1003,917,84,81,103,139,182,193,286,371,182,108,115,65,11,1679,241,799,39,0,589,0,252,19,43,28,0,806,1114
1400000US06037186203,"Census Tract 1862.03, Los Angeles County, California",3113,1587,1526,218,160,211,83,37,477,414,506,269,238,294,154,52,2910,203,1843,32,79,358,0,598,46,0,96,0,1340,1773
1400000US06037186301,"Census Tract 1863.01, Los Angeles County, California",2749,1335,1414,201,151,212,165,159,703,364,310,163,85,158,68,10,2421,328,1190,113,106,220,0,792,44,44,34,45,1863,886
1400000US06037186302,"Census Tract 1863.02, Los Angeles County, California",5282,2807,2475,219,217,104,122,286,1095,904,607,264,497,669,142,156,4949,333,2692,42,67,902,0,1246,0,71,170,19,2224,3058
1400000US06037186401,"Census Tract 1864.01, Los Angeles County, California",3198,1564,1634,260,270,224,199,298,534,422,460,126,100,157,123,25,2887,311,650,63,71,398,0,1705,0,126,8,0,2575,623
1400000US06037186403,"Census Tract 1864.03, Los Angeles County, California",2809,1312,1497,195,247,133,116,131,560,361,308,187,139,249,98,85,2566,243,758,43,210,574,0,981,0,8,58,0,1871,938
1400000US06037186404,"Census Tract 1864.04, Los Angeles County, California",2809,1449,1360,132,168,146,231,346,559,422,385,149,72,85,36,78,2541,268,694,7,72,420,0,1348,0,87,18,0,1947,862
1400000US06037187101,"Census Tract 1871.01, Los Angeles County, California",3213,1461,1752,94,121,125,83,176,494,517,421,289,146,347,253,147,3101,112,1743,24,14,947,0,373,9,0,80,0,963,2250
1400000US06037187102,"Census Tract 1871.02, Los Angeles County, California",4376,1922,2454,311,191,160,162,260,843,782,423,174,413,460,139,58,3968,408,1762,88,220,1030,245,623,0,0,80,0,2118,2258
1400000US06037187200,"Census Tract 1872, Los Angeles County, California",3324,1460,1864,127,152,108,171,438,751,517,338,124,211,169,155,63,3129,195,1729,36,14,480,22,848,37,10,17,0,2092,1232
1400000US06037187300,"Census Tract 1873, Los Angeles County, California",3715,2077,1638,203,104,129,141,179,957,736,633,167,103,214,126,23,3410,305,2574,34,0,536,0,266,31,27,62,0,831,2884
1400000US06037188100,"Census Tract 1881, Los Angeles County, California",3960,1984,1976,83,149,73,146,381,940,838,376,205,192,511,61,5,3642,318,1945,56,68,354,0,1219,48,0,156,0,2113,1847
1400000US06037188201,"Census Tract 1882.01, Los Angeles County, California",3262,1710,1552,104,149,126,14,155,827,888,404,169,110,189,71,56,3006,256,2259,147,87,374,0,139,0,0,52,0,485,2777
1400000US06037188202,"Census Tract 1882.02, Los Angeles County, California",2887,1534,1353,271,93,22,54,134,666,590,215,125,159,320,165,73,2693,194,1840,145,0,517,0,191,18,0,101,0,402,2485
1400000US06037188300,"Census Tract 1883, Los Angeles County, California",3822,2033,1789,257,127,87,122,154,678,611,533,301,209,563,141,39,3638,184,1668,14,375,948,0,633,17,0,65,0,1062,2760
1400000US06037189101,"Census Tract 1891.01, Los Angeles County, California",2600,1184,1416,183,69,48,0,132,812,499,419,99,79,161,56,43,2510,90,1887,34,0,525,10,54,0,0,41,0,280,2320
1400000US06037189102,"Census Tract 1891.02, Los Angeles County, California",3960,2102,1858,286,134,73,50,138,1339,836,364,125,101,299,117,98,3706,254,2908,24,2,479,39,254,73,11,95,0,586,3374
1400000US06037189201,"Census Tract 1892.01, Los Angeles County, California",3088,1368,1720,168,71,12,8,121,1181,573,354,102,128,214,103,53,2872,216,2282,118,21,271,9,171,0,8,74,0,506,2582
1400000US06037189202,"Census Tract 1892.02, Los Angeles County, California",2781,1402,1379,353,7,92,69,19,574,645,276,216,123,231,158,18,2382,399,1968,45,3,295,0,71,0,70,186,0,304,2477
1400000US06037189300,"Census Tract 1893, Los Angeles County, California",3212,1611,1601,263,218,97,56,34,468,451,646,142,201,472,118,46,3124,88,2567,52,0,440,0,65,0,0,78,0,87,3125
1400000US06037189400,"Census Tract 1894, Los Angeles County, California",3145,1645,1500,139,156,66,234,142,374,653,632,214,153,299,48,35,2929,216,2479,283,0,167,0,0,0,45,111,0,182,2963
1400000US06037189501,"Census Tract 1895.01, Los Angeles County, California",2179,1164,1015,121,13,0,33,27,578,419,382,272,22,275,37,0,2170,9,1780,146,0,127,0,117,0,0,0,0,239,1940
1400000US06037189502,"Census Tract 1895.02, Los Angeles County, California",2049,1018,1031,0,0,0,1,168,781,360,215,207,65,212,27,13,1916,133,1414,101,0,204,4,193,27,0,28,0,405,1644
1400000US06037189600,"Census Tract 1896, Los Angeles County, California",3825,1993,1832,84,20,197,111,168,925,752,686,333,228,264,31,26,3470,355,2810,89,45,346,0,180,129,0,42,0,734,3091
1400000US06037189702,"Census Tract 1897.02, Los Angeles County, California",2436,1181,1255,75,30,49,57,48,630,388,437,173,149,243,90,67,2233,203,1972,130,0,51,0,80,0,0,33,0,227,2209
1400000US06037189703,"Census Tract 1897.03, Los Angeles County, California",1880,873,1007,95,22,0,42,146,356,357,366,112,91,207,86,0,1826,54,1303,314,0,132,0,77,0,0,22,0,174,1706
1400000US06037189704,"Census Tract 1897.04, Los Angeles County, California",1471,673,798,57,37,203,51,27,217,217,218,83,15,121,58,167,1350,121,1234,24,0,77,0,15,0,0,99,0,154,1317
1400000US06037189801,"Census Tract 1898.01, Los Angeles County, California",1839,909,930,8,35,40,18,29,498,265,316,139,81,297,63,50,1684,155,1589,20,24,39,0,12,0,27,0,0,184,1655
1400000US06037189802,"Census Tract 1898.02, Los Angeles County, California",2158,1173,985,103,108,24,18,68,441,532,342,60,73,137,165,87,2022,136,1657,204,0,71,0,90,24,0,35,0,275,1883
1400000US06037189903,"Census Tract 1899.03, Los Angeles County, California",2182,1342,840,15,47,0,0,99,628,434,308,239,94,116,79,123,2095,87,1741,62,0,208,0,84,11,0,0,0,329,1853
1400000US06037189904,"Census Tract 1899.04, Los Angeles County, California",2382,1127,1255,74,0,0,6,164,977,357,402,131,120,87,0,64,2099,283,1600,172,5,122,0,200,15,0,23,0,602,1780
1400000US06037189905,"Census Tract 1899.05, Los Angeles County, California",2615,1634,981,65,164,164,29,15,703,684,294,67,67,243,94,26,2283,332,1875,148,0,85,0,175,38,9,12,0,627,1988
1400000US06037189906,"Census Tract 1899.06, Los Angeles County, California",2634,1446,1188,26,0,0,0,207,1225,686,225,110,77,42,36,0,2558,76,2101,70,0,343,0,44,0,0,39,0,137,2497
1400000US06037189907,"Census Tract 1899.07, Los Angeles County, California",2418,1121,1297,168,141,12,30,122,690,602,338,96,11,96,63,49,2056,362,1619,55,0,270,0,112,21,0,22,0,566,1852
1400000US06037190101,"Census Tract 1901.01, Los Angeles County, California",1653,944,709,0,51,0,32,340,518,314,140,41,122,70,25,0,1335,318,798,282,0,181,0,74,28,9,20,0,270,1383
