Geography,Geographic Area Name,"Employed population (16+ years, all)","Employed population (16+ years, female)",Workers who commute to work (total),Workers who commute to work (drive alone),Workers who commute to work (carpool),Workers who commute to work (public transit),Workers who commute to work (walk),Workers who commute to work (other),Workers who commute to work (work from home),Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars)
1400000US06037433103,"Census Tract 4331.03, Los Angeles County, California",6241,2972,3358,2594,340,116,65,31,212,26.9,60694,71775
1400000US06037433200,"Census Tract 4332, Los Angeles County, California",5096,2618,2503,1872,454,92,24,17,44,27.3,56371,71819
1400000US06037433302,"Census Tract 4333.02, Los Angeles County, California",1366,609,834,524,103,23,12,46,126,26.7,51538,61627
1400000US06037433304,"Census Tract 4333.04, Los Angeles County, California",3681,1834,2190,1305,370,211,62,151,91,29.2,42197,52229
1400000US06037433305,"Census Tract 4333.05, Los Angeles County, California",3779,2006,1895,1281,437,91,0,42,44,31.3,40625,53578
1400000US06037433306,"Census Tract 4333.06, Los Angeles County, California",2847,1449,1632,1197,293,48,16,51,27,29.1,56010,64268
1400000US06037433307,"Census Tract 4333.07, Los Angeles County, California",2308,1220,1525,996,394,73,4,9,49,32,67917,83176
1400000US06037433402,"Census Tract 4334.02, Los Angeles County, California",3936,1787,2513,1670,404,76,54,107,202,25.8,68512,86205
1400000US06037433403,"Census Tract 4334.03, Los Angeles County, California",3451,1892,2052,1394,406,102,55,38,57,24,49202,51197
1400000US06037433505,"Census Tract 4335.05, Los Angeles County, California",3713,1792,2023,1565,174,22,167,11,84,27.4,53190,71988
1400000US06037433506,"Census Tract 4335.06, Los Angeles County, California",3052,1283,1423,1026,198,70,48,35,46,25.3,36956,45972
1400000US06037433601,"Census Tract 4336.01, Los Angeles County, California",4677,2542,2411,1585,621,30,12,47,116,34.4,66657,78942
1400000US06037433602,"Census Tract 4336.02, Los Angeles County, California",2436,1312,1107,852,114,17,22,27,75,31.6,50379,72892
1400000US06037433803,"Census Tract 4338.03, Los Angeles County, California",2764,1404,1496,1165,141,34,65,23,68,28.2,74583,85932
1400000US06037433804,"Census Tract 4338.04, Los Angeles County, California",3408,1604,2070,1671,186,26,64,101,22,31.9,46581,63341
1400000US06037433901,"Census Tract 4339.01, Los Angeles County, California",4456,2268,2862,2005,336,245,98,41,137,27.7,49621,57836
1400000US06037433903,"Census Tract 4339.03, Los Angeles County, California",4024,2027,2315,1893,231,52,77,3,59,28.1,52438,64072
1400000US06037434001,"Census Tract 4340.01, Los Angeles County, California",3067,1567,1839,1418,262,39,37,17,66,33.3,51438,70097
1400000US06037434003,"Census Tract 4340.03, Los Angeles County, California",3263,1595,1863,1454,240,94,28,12,35,34,60147,80138
1400000US06037434004,"Census Tract 4340.04, Los Angeles County, California",2534,1365,1435,1220,159,4,0,38,14,31.3,71652,87759
1400000US06037434100,"Census Tract 4341, Los Angeles County, California",5440,2878,3152,2498,312,115,68,22,137,28.4,59432,68431
1400000US06037460001,"Census Tract 4600.01, Los Angeles County, California",1367,631,871,597,72,35,15,0,152,29.7,194375,257922
1400000US06037460002,"Census Tract 4600.02, Los Angeles County, California",2378,1272,1204,851,111,114,6,16,106,35,131469,155038
